"sex","race","age","education","state","y"
"1.Male","1.White","18-24","1.NoCollege","GA",0
"1.Male","1.White","25-34","1.NoCollege","AZ",0
"1.Male","1.White","25-34","2.SomeCollege","SD",0
"1.Male","1.White","18-24","3.CollegeOrMore","SC",0
"1.Male","1.White","18-24","3.CollegeOrMore","SC",0
"1.Male","1.White","18-24","3.CollegeOrMore","SC",0
"1.Male","1.White","18-24","1.NoCollege","AL",1
"1.Male","1.White","25-34","3.CollegeOrMore","SC",0
"1.Male","1.White","25-34","3.CollegeOrMore","SC",1
"1.Male","1.White","25-34","3.CollegeOrMore","SC",0
"1.Male","1.White","25-34","3.CollegeOrMore","SC",0
"1.Male","1.White","18-24","3.CollegeOrMore","SC",1
"1.Male","1.White","25-34","2.SomeCollege","SC",0
"1.Male","1.White","18-24","2.SomeCollege","SC",0
"1.Male","1.White","25-34","3.CollegeOrMore","SC",1
"1.Male","1.White","25-34","3.CollegeOrMore","SC",0
"1.Male","1.White","25-34","3.CollegeOrMore","SC",1
"1.Male","1.White","18-24","1.NoCollege","SC",0
"1.Male","1.White","25-34","3.CollegeOrMore","SC",0
"1.Male","1.White","25-34","3.CollegeOrMore","SC",0
"1.Male","1.White","25-34","3.CollegeOrMore","SC",1
"1.Male","1.White","18-24","3.CollegeOrMore","SC",0
"1.Male","1.White","18-24","1.NoCollege","SC",0
"1.Male","1.White","25-34","3.CollegeOrMore","SC",0
"1.Male","1.White","25-34","3.CollegeOrMore","SC",1
"1.Male","1.White","25-34","2.SomeCollege","SC",0
"1.Male","1.White","18-24","1.NoCollege","SC",1
"1.Male","1.White","25-34","3.CollegeOrMore","SC",0
"1.Male","1.White","25-34","3.CollegeOrMore","SC",0
"1.Male","1.White","25-34","2.SomeCollege","SC",0
"1.Male","1.White","18-24","1.NoCollege","SC",0
"1.Male","1.White","18-24","2.SomeCollege","SC",0
"1.Male","1.White","18-24","1.NoCollege","SC",0
"1.Male","1.White","18-24","2.SomeCollege","SC",0
"1.Male","1.White","25-34","3.CollegeOrMore","SC",0
"1.Male","1.White","25-34","3.CollegeOrMore","SC",0
"1.Male","1.White","18-24","1.NoCollege","SC",1
"1.Male","1.White","18-24","2.SomeCollege","SC",0
"1.Male","1.White","25-34","2.SomeCollege","SC",0
"1.Male","1.White","25-34","3.CollegeOrMore","SC",0
"1.Male","1.White","18-24","1.NoCollege","VA",0
"1.Male","1.White","18-24","2.SomeCollege","SC",1
"1.Male","1.White","25-34","1.NoCollege","SC",0
"1.Male","1.White","18-24","2.SomeCollege","SC",0
"1.Male","1.White","18-24","1.NoCollege","SC",0
"1.Male","1.White","25-34","2.SomeCollege","SC",0
"1.Male","1.White","25-34","1.NoCollege","SC",1
"1.Male","1.White","18-24","3.CollegeOrMore","KS",0
"1.Male","1.White","25-34","3.CollegeOrMore","SC",0
"1.Male","1.White","18-24","1.NoCollege","TN",0
"1.Male","1.White","25-34","2.SomeCollege","SC",0
"1.Male","1.White","25-34","2.SomeCollege","SC",0
"1.Male","1.White","18-24","2.SomeCollege","IA",0
"1.Male","1.White","25-34","3.CollegeOrMore","SC",0
"1.Male","1.White","18-24","1.NoCollege","ME",0
"1.Male","1.White","25-34","3.CollegeOrMore","SC",0
"1.Male","1.White","18-24","2.SomeCollege","SC",0
"1.Male","1.White","18-24","2.SomeCollege","SC",0
"1.Male","1.White","25-34","1.NoCollege","SC",0
"1.Male","1.White","25-34","3.CollegeOrMore","SC",0
"1.Male","1.White","18-24","1.NoCollege","SC",0
"1.Male","1.White","18-24","1.NoCollege","AR",1
"1.Male","1.White","18-24","2.SomeCollege","SC",0
"1.Male","1.White","25-34","3.CollegeOrMore","SC",1
"1.Male","1.White","18-24","3.CollegeOrMore","WA",1
"1.Male","1.White","25-34","2.SomeCollege","SC",0
"1.Male","1.White","18-24","1.NoCollege","SC",0
"1.Male","1.White","25-34","3.CollegeOrMore","SC",0
"1.Male","1.White","18-24","3.CollegeOrMore","SC",0
"1.Male","1.White","25-34","1.NoCollege","SC",1
"1.Male","1.White","18-24","1.NoCollege","SC",0
"1.Male","1.White","18-24","3.CollegeOrMore","SC",1
"1.Male","1.White","18-24","1.NoCollege","CT",1
"1.Male","1.White","18-24","1.NoCollege","OH",0
"1.Male","1.White","18-24","1.NoCollege","CT",0
"1.Male","1.White","18-24","1.NoCollege","PA",0
"1.Male","1.White","18-24","2.SomeCollege","IA",0
"1.Male","1.White","25-34","1.NoCollege","MA",0
"1.Male","1.White","25-34","1.NoCollege","NH",0
"1.Male","1.White","18-24","1.NoCollege","MD",0
"1.Male","1.White","18-24","1.NoCollege","WI",0
"1.Male","1.White","18-24","1.NoCollege","AR",0
"1.Male","1.White","18-24","2.SomeCollege","AR",0
"1.Male","1.White","25-34","3.CollegeOrMore","NE",1
"1.Male","1.White","18-24","2.SomeCollege","MS",0
"1.Male","1.White","25-34","2.SomeCollege","CA",1
"1.Male","1.White","18-24","1.NoCollege","NY",0
"1.Male","1.White","18-24","2.SomeCollege","MS",0
"1.Male","1.White","25-34","3.CollegeOrMore","DE",0
"1.Male","1.White","25-34","3.CollegeOrMore","MN",1
"1.Male","1.White","18-24","1.NoCollege","MI",0
"1.Male","1.White","18-24","1.NoCollege","ND",0
"1.Male","1.White","18-24","2.SomeCollege","ID",0
"1.Male","1.White","25-34","2.SomeCollege","MN",0
"1.Male","1.White","25-34","3.CollegeOrMore","HI",0
"1.Male","1.White","18-24","2.SomeCollege","IN",0
"1.Male","1.White","25-34","2.SomeCollege","MS",0
"1.Male","1.White","18-24","1.NoCollege","SD",0
"1.Male","1.White","18-24","2.SomeCollege","VT",1
"1.Male","1.White","18-24","1.NoCollege","CA",0
"1.Male","1.White","25-34","3.CollegeOrMore","AL",0
"1.Male","1.White","18-24","1.NoCollege","MS",1
"1.Male","1.White","25-34","1.NoCollege","MS",1
"1.Male","1.White","18-24","1.NoCollege","SD",1
"1.Male","1.White","25-34","1.NoCollege","FL",0
"1.Male","1.White","35-44","3.CollegeOrMore","CT",0
"1.Male","1.White","35-44","2.SomeCollege","AZ",0
"1.Male","1.White","25-34","3.CollegeOrMore","SC",1
"1.Male","1.White","35-44","2.SomeCollege","KS",0
"1.Male","1.White","25-34","2.SomeCollege","KS",1
"1.Male","1.White","25-34","3.CollegeOrMore","SC",0
"1.Male","1.White","25-34","1.NoCollege","MN",1
"1.Male","1.White","25-34","1.NoCollege","SC",0
"1.Male","1.White","25-34","3.CollegeOrMore","SC",0
"1.Male","1.White","25-34","2.SomeCollege","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","25-34","3.CollegeOrMore","SC",0
"1.Male","1.White","35-44","2.SomeCollege","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","35-44","1.NoCollege","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
"1.Male","1.White","35-44","3.CollegeOrMore","SC",0
